239 55 3830 134 166052
240 14 1038 27 29382
241 13 15559 13 594
242 72 4806 189 237482
243 3 120 3 355
244 6 4654 6 268
245 50 2467 176 241999
246 102 5014 957 1378612
247 135 28539 1095 1568140
248 154 6321 718 1028156
249 3 153 3 296
250 21 6660 67 83973
251 4 897 4 410
252 2 80 2 80
253 0 0 0 0
254 5 457 5 442
255 2 112 2 108
256 10 2830 10 519
257 4 160 4 374
258 2 80 2 163
259 44 3652 129 166519
260 3 638 3 149
261 34 2325 172 231625
262 9 8299 9 480
263 8 1936 8 742
264 8 1038 8 1585
265 0 0 0 0
266 2 112 2 108
267 2 80 2 80
268 7 1937 8 521
269 19 2074 80 104146
270 84 4936 618 880423
271 109 38359 767 1067896
272 0 0 0 0
273 53 2266 379 539603
274 16 14129 93 121660
275 7 313 7 620
276 2 80 2 232
277 6 272 6 318
278 0 0 0 0
279 0 0 0 0
280 1 40 1 40
281 7 313 7 1275
282 1 40 1 139
283 1 40 1 91
284 0 0 0 0
285 25 2794 50 51098
286 39 4892 46 3211
287 6 371 9 493
288 0 0 0 0
289 17 1142 56 73568
290 3 120 6 337
291 2 80 2 80
292 2 113 2 778
293 0 0 0 0
294 0 0 0 0
295 3 1208 4 234
296 0 0 0 0
297 12 698 26 29618
298 26 2271 31 1751
299 2 80 2 80
300 0 0 0 0
301 6 240 6 240
302 0 0 0 0
303 0 0 0 0
304 0 0 0 0
305 0 0 0 0
306 4 917 5 303
307 3 154 3 238
308 19 2127 36 37727
309 30 5416 32 1969
310 0 0 0 0
311 0 0 0 0
312 2 80 2 80
313 6 1804 6 369
314 2 122 2 80
315 0 0 0 0
316 4 543 4 236
317 2 80 2 170
318 22 3194 31 19193
319 4 315 5 1291
320 7 371 7 1262
321 6 2522 7 946
322 6 565 6 309
323 3 363 3 194
324 12 1684 26 30007
325 8 353 10 1653
326 24 2944 30 2096
327 9 1289 9 360
328 16 1136 26 1726
329 2 112 2 108
330 2 80 2 80
331 0 0 0 0
332 2 80 2 253
333 2 80 3 183
334 2 80 3 183
335 0 0 0 0
336 1 40 1 40
337 0 0 0 0
338 0 0 0 0
339 2 112 2 108
340 0 0 0 0
341 0 0 0 0
342 2 80 2 80
343 0 0 0 0
344 2 80 2 80
345 0 0 0 0
346 0 0 0 0
347 6 240 6 240
348 0 0 0 0
349 2 112 2 108
350 0 0 0 0
351 0 0 0 0
352 0 0 0 0
353 0 0 0 0
354 0 0 0 0
355 0 0 0 0
356 0 0 0 0
357 0 0 0 0
358 0 0 0 0
359 3 152 3 148
360 3 153 3 455
361 2 80 2 80
362 0 0 0 0
363 1 40 1 40
364 0 0 0 0
365 3 120 3 912
366 0 0 0 0
367 2 80 2 80
368 0 0 0 0
369 3 152 3 148
370 0 0 0 0
371 4 160 4 317
372 2 113 2 133
373 0 0 0 0
374 1 40 1 100
375 2 80 2 80
376 0 0 0 0
377 1 40 1 40
378 1 40 1 70
379 2 112 2 108
380 0 0 0 0
381 1 40 1 40
382 0 0 0 0
383 0 0 0 0
384 4 715 4 326
385 0 0 0 0
386 2 80 3 201
387 1 40 1 40
388 1 40 1 69
389 1 40 1 70
390 2 80 2 80
391 7 2394 7 383
392 6 240 6 240
393 0 0 0 0
394 0 0 0 0
395 2 80 3 166
396 3 186 3 242
397 0 0 0 0
398 0 0 0 0
399 1 40 2 80
400 29 2356 29 1819
401 2 112 2 108
402 23 2116 28 1762
403 0 0 0 0
404 1 40 1 40
405 0 0 0 0
406 4 193 4 869
407 0 0 0 0
408 1 40 1 40
409 0 0 0 0
410 1 40 1 40
411 1 40 1 70
412 4 193 4 349
413 1 73 2 125
414 14 1828 14 803
415 1 40 1 70
416 66 5940 79 5033
417 0 0 0 0
418 0 0 0 0
419 0 0 0 0
420 2 80 2 134
421 0 0 0 0
422 4 160 4 428
423 5 266 5 460
424 0 0 0 0
425 5 265 5 327
426 1 40 1 40
427 6 273 8 685
428 1 40 1 96
429 1 40 1 40
430 3 120 7 435
431 1 40 1 69
432 3 120 3 179
433 1 40 1 69
434 4 193 4 465
435 3 152 3 179
436 3 153 3 331
437 7 313 8 413
438 1 40 1 70
439 18 1740 18 1211
440 5 365 9 537
441 0 0 0 0
442 4 193 4 386
443 6 273 7 440
444 5 755 5 366
445 0 0 0 0
446 0 0 0 0
447 23 3095 30 1862
448 1 73 2 271
449 3 153 4 252
450 0 0 0 0
451 2 80 2 80
452 0 0 0 0
453 1 40 1 40
454 1 40 3 201
455 0 0 0 0
456 0 0 0 0
457 4 192 4 188
458 0 0 0 0
459 0 0 0 0
